Date,Name,Benchmark,Ccy,value,Portfolio,LookbackPeriod,Measure
30/4/2022,Fund_1,Bcmk_1,USD,2.937952331,Portfolio,MTD,TotalReturn
31/3/2022,Fund_1,Bcmk_1,USD,0.254174467,Portfolio,MTD,TotalReturn
28/2/2022,Fund_1,Bcmk_1,USD,2.442903324,Portfolio,MTD,TotalReturn
31/1/2022,Fund_1,Bcmk_1,USD,1.765582307,Portfolio,MTD,TotalReturn
31/12/2021,Fund_1,Bcmk_1,USD,1.622687059,Portfolio,MTD,TotalReturn
30/11/2021,Fund_1,Bcmk_1,USD,1.342607757,Portfolio,MTD,TotalReturn
31/10/2021,Fund_1,Bcmk_1,USD,1.843401311,Portfolio,MTD,TotalReturn
30/9/2021,Fund_1,Bcmk_1,USD,1.268845862,Portfolio,MTD,TotalReturn
31/8/2021,Fund_1,Bcmk_1,USD,1.442654328,Portfolio,MTD,TotalReturn
31/7/2021,Fund_1,Bcmk_1,USD,2.779890259,Portfolio,MTD,TotalReturn
30/6/2021,Fund_1,Bcmk_1,USD,0.559535043,Portfolio,MTD,TotalReturn
31/5/2021,Fund_1,Bcmk_1,USD,2.916113376,Portfolio,MTD,TotalReturn
30/4/2021,Fund_1,Bcmk_1,USD,1.734991154,Portfolio,MTD,TotalReturn
31/3/2021,Fund_1,Bcmk_1,USD,1.905731578,Portfolio,MTD,TotalReturn
28/2/2021,Fund_1,Bcmk_1,USD,1.513036957,Portfolio,MTD,TotalReturn
31/1/2021,Fund_1,Bcmk_1,USD,1.055009687,Portfolio,MTD,TotalReturn
31/12/2020,Fund_1,Bcmk_1,USD,0.754937625,Portfolio,MTD,TotalReturn
30/11/2020,Fund_1,Bcmk_1,USD,2.566956937,Portfolio,MTD,TotalReturn
31/10/2020,Fund_1,Bcmk_1,USD,0.900041936,Portfolio,MTD,TotalReturn
30/9/2020,Fund_1,Bcmk_1,USD,2.619656484,Portfolio,MTD,TotalReturn
31/8/2020,Fund_1,Bcmk_1,USD,2.51902187,Portfolio,MTD,TotalReturn
31/7/2020,Fund_1,Bcmk_1,USD,0.807230774,Portfolio,MTD,TotalReturn
30/6/2020,Fund_1,Bcmk_1,USD,0.586569488,Portfolio,MTD,TotalReturn
31/5/2020,Fund_1,Bcmk_1,USD,1.863290174,Portfolio,MTD,TotalReturn
30/4/2020,Fund_1,Bcmk_1,USD,2.117562593,Portfolio,MTD,TotalReturn
31/3/2020,Fund_1,Bcmk_1,USD,1.558825142,Portfolio,MTD,TotalReturn
29/2/2020,Fund_1,Bcmk_1,USD,1.896953687,Portfolio,MTD,TotalReturn
31/1/2020,Fund_1,Bcmk_1,USD,0.653333968,Portfolio,MTD,TotalReturn
31/12/2019,Fund_1,Bcmk_1,USD,2.54426018,Portfolio,MTD,TotalReturn
30/11/2019,Fund_1,Bcmk_1,USD,0.979733719,Portfolio,MTD,TotalReturn
31/10/2019,Fund_1,Bcmk_1,USD,2.351380006,Portfolio,MTD,TotalReturn
30/9/2019,Fund_1,Bcmk_1,USD,1.256364034,Portfolio,MTD,TotalReturn
31/8/2019,Fund_1,Bcmk_1,USD,1.234344712,Portfolio,MTD,TotalReturn
31/7/2019,Fund_1,Bcmk_1,USD,0.634198992,Portfolio,MTD,TotalReturn
30/6/2019,Fund_1,Bcmk_1,USD,2.796332429,Portfolio,MTD,TotalReturn
31/5/2019,Fund_1,Bcmk_1,USD,2.518439915,Portfolio,MTD,TotalReturn
30/4/2019,Fund_1,Bcmk_1,USD,1.469290943,Portfolio,MTD,TotalReturn
31/3/2019,Fund_1,Bcmk_1,USD,1.191417684,Portfolio,MTD,TotalReturn
28/2/2019,Fund_1,Bcmk_1,USD,2.986026232,Portfolio,MTD,TotalReturn
31/1/2019,Fund_1,Bcmk_1,USD,2.405553889,Portfolio,MTD,TotalReturn
31/12/2018,Fund_1,Bcmk_1,USD,1.567527106,Portfolio,MTD,TotalReturn
30/11/2018,Fund_1,Bcmk_1,USD,1.104686969,Portfolio,MTD,TotalReturn
31/10/2018,Fund_1,Bcmk_1,USD,1.125537628,Portfolio,MTD,TotalReturn
30/9/2018,Fund_1,Bcmk_1,USD,1.406975676,Portfolio,MTD,TotalReturn
31/8/2018,Fund_1,Bcmk_1,USD,2.088394682,Portfolio,MTD,TotalReturn
31/7/2018,Fund_1,Bcmk_1,USD,0.223187681,Portfolio,MTD,TotalReturn
30/6/2018,Fund_1,Bcmk_1,USD,2.867954018,Portfolio,MTD,TotalReturn
31/5/2018,Fund_1,Bcmk_1,USD,1.347799683,Portfolio,MTD,TotalReturn
30/4/2018,Fund_1,Bcmk_1,USD,0.455054935,Portfolio,MTD,TotalReturn
31/3/2018,Fund_1,Bcmk_1,USD,2.158346637,Portfolio,MTD,TotalReturn
28/2/2018,Fund_1,Bcmk_1,USD,0.708432043,Portfolio,MTD,TotalReturn
31/1/2018,Fund_1,Bcmk_1,USD,1.533855526,Portfolio,MTD,TotalReturn
31/12/2017,Fund_1,Bcmk_1,USD,2.662784604,Portfolio,MTD,TotalReturn
30/11/2017,Fund_1,Bcmk_1,USD,1.292404541,Portfolio,MTD,TotalReturn
31/10/2017,Fund_1,Bcmk_1,USD,0.257909339,Portfolio,MTD,TotalReturn
30/9/2017,Fund_1,Bcmk_1,USD,0.062286683,Portfolio,MTD,TotalReturn
31/8/2017,Fund_1,Bcmk_1,USD,1.835929473,Portfolio,MTD,TotalReturn
31/7/2017,Fund_1,Bcmk_1,USD,2.400301746,Portfolio,MTD,TotalReturn
30/6/2017,Fund_1,Bcmk_1,USD,1.947527898,Portfolio,MTD,TotalReturn
31/5/2017,Fund_1,Bcmk_1,USD,1.821707407,Portfolio,MTD,TotalReturn
30/4/2022,Fund_1,Bcmk_1,USD,2.756550498,Benchmark,MTD,TotalReturn
31/3/2022,Fund_1,Bcmk_1,USD,0.700107443,Benchmark,MTD,TotalReturn
28/2/2022,Fund_1,Bcmk_1,USD,2.069963907,Benchmark,MTD,TotalReturn
